Local_alignment_Tm	Gap_adjusted_end_filling_Tm
61.79	50.73
56.67	36.78
56.67	35.29
58.03	41.56
61.79	50.73
58.81	-20.5
56.96	21.73
57.52	-22.23
62.94	-0.6
54.85	15.91
54.85	11.71
55.47	-90.54
54.85	11.71
54.85	15.91
54.85	21.47
54.85	11.71
54.85	11.71
54.85	21.47
48.82	13.73
53.97	42.22
53.97	42.22
61.22	16.25
51.16	30.78
51.16	30.69
51.16	30.69
51.16	29.19
53.57	-25.84
51.16	30.78
51.16	30.78
58.87	42.97
52.14	13.2
53.81	-23.28
52.06	-8.42
53.84	-15.91
54.74	-43.59
49.37	18.8
55.86	21.08
62.94	40.82
61.79	49.84
56.67	39.44
56.67	39.44
58.03	40.16
61.79	49.84
57.19	-15.64
57.52	-13.45
53.76	16.87
53.97	-33.29
54.38	-87.48
48.49	-63.11
53.97	-33.29
45.38	-42.01
48.92	-26.86
56.78	38.17
53.1	-9.3
53.1	-9.3
58.7	19.69
55.85	15.18
58.87	43.83
53.81	-28.01
52.06	-22.05
61.8	9.09
55.73	-21.12
55.73	-21.12
63.52	-0.89
55.73	-21.12
54.62	-10.15
55.74	-4.26
58.91	-12.77
55.73	-30.13
56.36	-30.27
49.69	-31.56
55.88	17.08
52.28	-20.04
54.1	-30.64
55.97	-0.99
51.49	23.34
54.61	38.18
60.37	2.59
54.37	-152.09
50.76	9.96
52.26	-96.66
54.89	17.01
58.36	31.24
58.03	35.86
49.84	30.43
49.84	27.01
49.84	30.43
49.84	30.43
46.21	-40.98
50.87	17.66
53.84	-35.5
54.74	-56.41
50.74	29.74
49.37	19.44
56.63	31.49
57.64	33.71
56.19	23.46
61.8	-1.24
47.22	33.66
59.27	41.15
48.21	-62.1
51.64	0.87
59.78	-14.81
60.4	-26.12
61.85	5.73
53.1	-5.52
53.1	-5.52
53.1	-5.52
60.62	-43.4
57.51	35.29
57.51	35.29
55.94	23.33
55.94	28.04
57.51	35.57
57.51	35.29
55.94	28.04
54.85	21.81
54.85	21.81
55.94	27.06
55.47	-50.03
54.85	21.81
54.85	21.81
55.94	28.04
54.85	26.51
54.85	21.81
57.51	35.57
56.53	26.48
54.85	21.81
54.85	26.51
54.85	16.76
54.85	9.93
54.85	9.93
54.85	16.76
54.85	9.93
54.85	20.8
54.85	20.8
54.85	9.93
56.19	26.26
53.95	25.65
54.26	-40.9
54.26	-52.55
42.12	-65.23
54.04	-68.9
50.87	12.98
53.95	30.96
54.26	-41.37
56.13	-37.91
54.26	-39.91
46.78	26.22
47.97	-57.46
43.83	31.63
62.28	-48.51
53.84	-24.75
54.74	-35.31
49.37	20.05
59.76	-99.25
56.13	33.32
59.14	34.24
59.16	18.78
57.7	1.3
55.26	-21.86
55.94	-31.6
51.16	26.67
51.16	26.51
55.73	-23.96
51.16	26.51
55.73	-23.96
57.19	-9.67
51.16	26.67
51.16	26.67
51.91	-29.22
46.04	-29.28
56.71	-16.4
55.65	40.11
46.04	-32.83
52.81	-8.94
48.66	-6.66
56.71	-1.3
55.65	42.8
46.04	-18.94
50.32	33.8
50.32	33.8
58.9	-31.11
57.91	-25.44
49.5	-10.75
49.5	-12.7
49.5	-10.75
49.5	-10.75
49.5	-10.75
49.5	-10.75
52.08	-10.75
55.5	-8.58
55.5	-9.39
53.1	-0.36
53.1	-0.36
53.1	-0.36
51.85	-34.07
61.79	49.99
56.67	41.3
56.67	41.3
58.03	40.4
61.79	49.99
58.81	-19.69
56.96	29.1
57.52	-21.44
59.27	41.78
54.05	18.73
54.05	18.73
54.05	18.73
54.05	18.73
54.05	18.73
54.05	18.73
54.05	18.73
54.05	18.73
54.05	18.73
54.05	18.73
54.92	20.81
54.05	18.73
54.05	18.73
54.05	18.73
54.05	18.73
54.05	18.73
54.05	16.86
58.14	36.97
54.54	31.57
54.05	18.73
54.05	18.73
54.05	18.73
54.05	18.73
54.05	18.73
54.05	18.73
54.05	18.73
54.05	18.73
54.05	18.73
54.05	18.73
47.97	-57.46
62.71	14.96
62.71	14.96
63.29	51.87
61.61	-2.67
58.38	26.93
62.71	14.96
62.71	14.96
61.61	-2.67
61.61	-2.67
61.84	9.64
62.71	14.96
63.29	51.87
62.71	14.96
63.29	51.87
61.84	9.64
61.61	-2.67
61.61	-2.67
61.61	-2.67
61.61	-2.67
61.61	-2.67
61.61	-2.67
62.71	33.24
62.71	33.24
62.71	33.24
